"frame","x [nm]","y [nm]"
47.0,176.77830473919443,314.00675224447866
47.0,195.48059875471625,336.9095567742656
47.0,199.64616004554216,394.48769386145534
47.0,240.91903236796,347.1359553000847
47.0,254.7343049041308,375.037368422597
47.0,261.231863660552,324.7293616452185
47.0,310.4292039853126,274.48548631180125
47.0,317.33020820225653,295.6241383780643
47.0,334.4453682557693,369.7110869191446
47.0,361.4220762488967,362.587954171334
47.0,371.9119077194943,283.6378661663409
47.0,372.604705407374,390.93539646866617
47.0,373.56644658033184,325.0848982581634
47.0,390.1349888487764,258.1077496667607
48.0,6.089840312324688,394.3518314795401
48.0,12.418196115959914,224.1058613007041
48.0,35.4584999551538,352.8748688469751
48.0,55.841704306268504,270.1119201713991
48.0,62.90352986035679,256.3827733153307
48.0,62.90638962987563,256.36416176151204
48.0,108.87462977828574,209.37296713455612
48.0,158.43185732139747,337.54080250753736
48.0,175.8504620957981,315.1474521569653
48.0,184.12006885968054,212.74101242426735
48.0,184.91076422956593,259.14476827092807
48.0,196.58329194207283,336.8934313041135
48.0,199.64454195984257,394.26099647504094
48.0,212.9568836133615,282.68411596930525
48.0,217.87537252288655,251.2236870157891
48.0,240.7171053811774,346.99638194416855
48.0,241.58128287503405,342.8701070071499
48.0,250.50875789766545,174.36606071106385
48.0,253.38188039329808,161.73812966337758
48.0,255.49391150629464,375.36937043741204
48.0,260.8466201177293,390.44235275090927
48.0,261.7724573285537,324.7607123577897
48.0,263.2817669743812,330.16647150776026
48.0,282.7689781662191,220.39095150055275
48.0,287.91204733848224,214.5436871262399
48.0,290.75278621082515,231.93609024828845
48.0,304.2601443125353,145.38799456596348
48.0,310.6561684282157,181.28430268097895
48.0,310.5915187803141,274.22060337354316
48.0,317.6760581260713,295.27653520473814
48.0,334.8703493641552,369.8764797770904
48.0,353.5681624261074,171.27614656504164
48.0,361.09797822198334,362.4563027347681
48.0,367.00437976847957,197.58391009338558
48.0,371.8350302906503,283.85942783021295
48.0,372.22274173375604,391.4373335739441
48.0,373.3152509378947,325.63112857006536
48.0,390.47716276730887,258.39700211070044
49.0,12.272336003589956,223.8294713821041
49.0,30.16487491175577,186.69084503702936
49.0,30.9532855802891,156.26267663786396
49.0,34.63897313144966,352.3364610124121
49.0,37.74280670628222,162.4906163442438
49.0,40.260974249270674,155.6764329123056
49.0,48.46103778479135,161.5734689097685
49.0,49.18996585783051,174.02353215643097
49.0,63.072051020276604,256.0916067520168
49.0,71.97781983497244,269.5550563064046
49.0,106.08411341753664,169.95758733340037
49.0,108.60797471070686,209.1776410635398
49.0,111.68807996288498,128.59857446322195
49.0,143.17617274826534,254.00727356931637
49.0,149.10371999770697,160.06087873336799
49.0,151.56917788664424,167.35466967772126
49.0,158.38239186590488,337.98053762718104
49.0,163.58704175381246,70.87719323201112
49.0,171.95096586047882,169.70121765130938
49.0,174.77753995499685,316.62430025746403
49.0,176.82898650469573,213.7341595170822
49.0,184.795104848451,212.52426474375048
49.0,185.30936599195527,259.4423475973912
49.0,190.96598529028915,169.95853864562795
49.0,190.874146235351,177.13987235919254
49.0,193.83184690211772,181.1270994826892
49.0,196.55146042365922,336.09181582179673
49.0,199.77207180353517,394.291260877553
49.0,206.02196854442474,152.74295201834207
49.0,214.19914338947166,282.1812791802442
49.0,217.54908863209306,251.26539461605574
49.0,228.80048419063283,91.11917185807897
49.0,240.8216674471557,346.9529159187087
49.0,241.57011343574544,343.29648383724134
49.0,242.10687732501668,266.00101556167
49.0,249.6763637414367,174.53576735419603
49.0,253.69296775377535,161.85878447167585
49.0,253.06116730053236,337.21768847801576
49.0,255.93936123897598,156.13040953308357
49.0,255.10784129137224,374.396776937314
49.0,260.50424309264736,390.6965828179887
49.0,262.658857529953,327.17451359451434
49.0,282.9442953381061,220.0953192410522
49.0,287.96689545562907,214.28582982682266
49.0,290.56844559950775,231.70622052787766
49.0,304.6991882849839,144.86071951620647
49.0,310.93770833058153,181.5377464514778
49.0,310.60808502439727,273.87037744570836
49.0,312.37387221279374,126.8336852204732
49.0,316.4061190958368,294.1796035820659
49.0,334.3650270094488,369.7180059341977
49.0,339.9578045785152,29.33675159740619
49.0,346.5595060117212,84.89463922272547
49.0,349.12238766192814,103.34223515319871
49.0,353.7387064260317,171.35162028070363
49.0,361.8011951955006,103.10079478073206
49.0,361.2905119783426,362.5256406744573
49.0,367.10347922849894,198.26299757817188
49.0,368.24622187727897,82.69693182880518
49.0,371.8730979355925,283.7194977134094
49.0,371.29356549391525,391.74079015703904
49.0,373.41473446300046,325.15656946861
49.0,376.390743255743,149.5259334408835
49.0,390.7807322889337,257.96442380192764
49.0,393.56165666787297,114.86735900167443
50.0,34.70248230128265,352.7940290550174
50.0,38.806161171353864,162.18144353851923
50.0,49.605907987600695,174.00451386507132
50.0,62.929933965210225,190.67887210670423
50.0,62.84248009471871,255.9020350910997
50.0,63.475640290910654,280.79208589929556
50.0,68.58100115795432,269.67452689149127
50.0,106.29751900775365,168.83824483725104
50.0,109.67016903887976,208.57352932919923
50.0,112.0500554844271,128.47748243772895
50.0,143.57470807188912,252.8953751886059
50.0,148.54402935298012,160.3088260832884
50.0,150.98071132361147,167.3091361256827
50.0,163.6003518752078,70.90291730989989
50.0,172.1484989672312,169.4480767015696
50.0,174.54465021784608,67.45551310797268
50.0,174.65996479251297,317.38511163210245
50.0,185.65147930412763,260.36095750159404
50.0,186.4463715658154,212.85994020009
50.0,193.2124933818594,179.83751495072332
50.0,195.88176885007246,335.78153850792347
50.0,199.69573091522733,394.32640454727573
50.0,206.65411367911673,129.03588016056693
50.0,206.4477913821849,154.55429647244765
50.0,212.81717199180977,95.94144903352901
50.0,215.91562799442724,281.9111141522024
50.0,217.35772275533648,251.32163735242304
50.0,221.2800424335317,246.79719201044946
50.0,222.74108544673948,191.1802767881477
50.0,222.91168681006735,23.2065674732753
50.0,227.2124752404886,29.083956161432866
50.0,228.04425335163012,91.35123971771094
50.0,234.2213365713651,234.1873930780309
50.0,241.92156703616726,265.6201546955659
50.0,241.2420406967601,345.7538033242667
50.0,241.04808956294136,346.5640400458653
50.0,243.1630484628809,385.06434972176686
50.0,249.49594209890137,174.23541578024543
50.0,252.78218211198046,372.74230680251105
50.0,254.0122295085514,160.6650381620632
50.0,255.8127675271938,375.54683448927136
50.0,259.7309161333057,390.61606466061176
50.0,262.39914359554,327.3544063569593
50.0,268.9130340948353,347.55281729196537
50.0,270.6942663829037,154.2846354714815
50.0,283.2019706951198,219.37434615977344
50.0,288.3348305614532,215.3810679912085
50.0,290.38050333864817,232.0541537243949
50.0,303.9901426305265,200.9077255213878
50.0,305.31336167494214,145.41552175337193
50.0,305.090757252212,350.4174196649591
50.0,309.278370306665,273.79834728122347
50.0,310.6229714115782,182.4171043187537
50.0,311.2114694588524,180.6976077304656
50.0,312.4903888261376,127.61244076621519
50.0,316.346659222556,293.9065852470779
50.0,334.49678892995485,369.7659363307518
50.0,340.37873975936765,29.231924700898414
50.0,346.00738920540863,84.60764201216274
50.0,348.2747766348257,103.72519944544312
50.0,353.04939575872464,170.1887020188292
50.0,361.134409379321,102.92382422289961
50.0,361.15931263130443,362.5606543694764
50.0,366.4563455291224,198.5451502623274
50.0,367.10187254487846,83.00692986908786
50.0,371.7299245756581,283.8643022148835
50.0,371.115118612252,391.6935533299659
50.0,374.0724129436658,325.1268863470963
50.0,377.6323935819507,148.67811556049648
50.0,378.1432134574464,137.2941353618699
50.0,390.04974312083846,258.9889756328354
50.0,393.6590925661319,115.14856046802014
51.0,6.521688488043745,393.1587292680709
51.0,23.660717225896725,235.31807414860495
51.0,26.125188299515674,269.53359420324455
51.0,34.79799060670307,353.1294551686037
51.0,35.8240713648171,162.2396415012115
51.0,35.60536507609288,173.40989202932911
51.0,47.0680028845021,161.41319017157878
51.0,48.065398442681214,172.85215761684856
51.0,57.61131427539848,264.9986125978466
51.0,61.949546049760436,220.95355295893103
51.0,62.91549627167573,256.10527482397833
51.0,65.55410962402686,206.89007069937196
51.0,78.79028845580191,357.61244053961246
51.0,79.26342177859138,156.28890439872583
51.0,103.93931481211382,81.23103809861998
51.0,106.4317468203034,169.17935548130086
51.0,109.7114859514265,209.0560207478896
51.0,143.3773222555731,250.62501067714922
51.0,149.01186390987883,160.8725054497835
51.0,150.74165172118302,167.81327760622153
51.0,156.0979680564707,327.1697068646024
51.0,158.67473862693788,337.68448006956146
51.0,163.91123983371003,70.22679247050807
51.0,172.16815679473922,169.3029967298908
51.0,173.77873101246766,67.0239342668463
51.0,174.61314136461004,213.56897332579652
51.0,174.22036895814446,317.07391099044287
51.0,185.41779620320008,261.8568178152698
51.0,187.19222886926943,213.15755631597474
51.0,196.65860698667632,335.36749278375925
51.0,199.85184743189143,394.4766466497618
51.0,207.22971636397224,157.47440774720383
51.0,213.86778184627556,95.74209999434115
51.0,216.37243626888707,281.20398230280637
51.0,217.44989783424785,251.14959548070175
51.0,218.6525036688265,169.35294400220704
51.0,227.10901442793872,30.29993441471281
51.0,228.0266835413562,91.32138824623094
51.0,238.30721180554357,270.3086242069018
51.0,241.55389000472522,342.37008152772546
51.0,242.72716984339408,169.21609236691464
51.0,242.78308768021324,261.40424341759586
51.0,241.88199572216286,345.9534048719749
51.0,243.5132713379298,357.12602712636306
51.0,249.4570306306208,173.68178224894532
51.0,254.33268416303144,161.03884950271998
51.0,254.92830545785654,374.4596335189916
51.0,259.1374318464156,389.88432650512425
51.0,263.60843606635063,326.6439028747653
51.0,282.5049794012968,218.89623228041629
51.0,289.20403905727653,215.44444500046606
51.0,290.1033396539785,231.72358487034163
51.0,295.3767384522098,245.1666076159379
51.0,302.34643604212204,279.3156536196241
51.0,305.0903059343842,144.06629065255703
51.0,308.7148398078763,274.05836569978226
51.0,311.651314170393,127.51117976491216
51.0,311.29019767099686,180.60166447920324
