"frame","x [nm]","y [nm]"
47.0,134.08509818166146,345.63325082712225
47.0,154.84044102771955,326.68695646521917
47.0,263.9652576153363,330.47091309345507
47.0,321.9497635233579,309.77211749559507
47.0,347.8009089851053,345.82842677080896
47.0,377.37493009638416,350.60962311363704
48.0,21.716841075134212,278.4260608430362
48.0,52.6110534440369,302.08355770214973
48.0,61.747799294653895,254.24533207548768
48.0,62.06653889282589,220.2704361550617
48.0,71.96541259797829,270.145375432239
48.0,75.59662818177235,339.50740610012934
48.0,134.50483230135467,345.63474725942365
48.0,155.2996065898939,326.93131933805756
48.0,167.3947570203601,370.9182521913751
48.0,186.71783214957892,303.8062979675221
48.0,190.69937759525374,169.5134730404836
48.0,214.026901781904,374.0007169007555
48.0,235.61597778161422,232.4626705780704
48.0,241.98435386148418,255.09907290313618
48.0,241.4235613097709,345.6471115834284
48.0,264.30672265625947,329.9418465798369
48.0,278.4999999860662,362.50000000804346
48.0,287.9354576835983,281.66547713879567
48.0,296.8499647861369,233.02652027918484
48.0,315.1394445680291,186.9394045990736
48.0,323.2017748644197,309.6646266908223
48.0,334.5,369.9618470953762
48.0,340.01848667825004,247.8284713489167
48.0,341.2479379050637,191.10329403395934
48.0,346.066310636279,186.1743084289065
48.0,346.5423358660791,344.883556836393
48.0,375.9973254139277,350.44730119236624
49.0,21.415914081733167,277.4756787666238
49.0,36.21400466071631,161.7324928392803
49.0,52.00977360813814,301.0616303739765
49.0,62.01431195025303,220.57602444100812
49.0,62.26358809153326,254.42588692824884
49.0,77.6256481893544,339.8267340236747
49.0,120.97000174089145,92.1622512478005
49.0,133.39005755338727,346.0676207441219
49.0,155.70651349898736,326.2384642740505
49.0,156.32012328166863,95.95201927620512
49.0,158.8175423431201,120.22377348841614
49.0,186.87286096098433,304.42326828948785
49.0,191.13697971761368,169.048276905714
49.0,206.84228131369258,141.74915689660796
49.0,222.77305318166037,190.9493276463514
49.0,226.34873078816662,81.40101900634274
49.0,228.55160191434211,255.24703821829158
49.0,235.8105820080322,232.8665787126985
49.0,241.7095807843998,255.18114384111257
49.0,242.77421315056375,345.93723966215265
49.0,258.6049538304559,156.42559788527825
49.0,260.859415079056,47.1210349489805
49.0,264.68596678574596,329.26426755324866
49.0,268.7401074720402,362.9922154816817
49.0,287.7730187357437,214.38589859459626
49.0,288.91514686724906,281.36491041351275
49.0,297.19326713577226,234.3681608771171
49.0,315.83240976647164,188.56727675073307
49.0,322.8226013275718,308.2986039675972
49.0,339.59710126094893,246.99949263886054
49.0,341.40642825152065,191.49922418006736
49.0,344.80979127730683,85.96139184068473
49.0,345.7100985321143,186.44779770461173
49.0,347.0884387003536,343.92844092254
49.0,375.0824753651643,149.97713510675138
49.0,376.36104615790646,351.04643701425755
49.0,377.4090386291097,136.5815685568027
49.0,390.5,85.97743898721058
50.0,21.081521536062475,278.46136726190537
50.0,40.46764387441817,143.82141984441728
50.0,42.18123544607757,116.5748352715289
50.0,52.555131791666305,301.59624465259924
50.0,61.55514946272108,254.37255086568373
50.0,62.38410373426217,220.83356180435524
50.0,71.04531914097927,269.9137040560613
50.0,76.20751753645273,339.1788461738765
50.0,77.5746663140612,396.34572943857034
50.0,132.59961432717157,346.64346204448776
50.0,155.36096633974793,326.4948130422895
50.0,156.4171045434053,96.31286971588464
50.0,158.87611067706553,120.13997040399815
50.0,186.61942751844353,303.98264858293436
50.0,191.61235942138828,168.83336629941346
50.0,205.1949846244265,142.60567337043045
50.0,223.0054972278617,191.07511286849495
50.0,225.5931807535504,82.41779302975246
50.0,228.20142329926065,255.3294483783409
50.0,232.73682838548268,58.09697583231383
50.0,235.05011653594175,233.1355793216913
50.0,241.50381038538106,254.95678653724218
50.0,242.41638536465481,345.46375603540287
50.0,258.6480737069018,157.2290627692631
50.0,262.2048267168171,46.16331204066502
50.0,265.1770881452575,328.1648141698639
50.0,277.9695956256855,68.98009805953384
50.0,279.5025546994646,42.010712669914895
50.0,287.5992584772966,215.65385454652332
50.0,288.7636548579482,280.6651002953181
50.0,296.11324919198006,234.71011001769105
50.0,305.7627934962756,132.9110541813649
50.0,316.1453635001739,187.01279784734572
50.0,324.19922682771903,307.7735083606539
50.0,340.41608630198385,190.45235965646242
50.0,340.0296926903615,246.23550891494182
50.0,344.14080716281023,87.67041961424711
50.0,345.36006690226384,185.96284765541097
50.0,348.1146732579618,343.1963601525613
50.0,359.4095967279548,53.90316260493142
50.0,363.3591167706971,91.00521976721734
50.0,376.6978876908035,149.08465099201626
50.0,376.87035300594124,351.51845209831936
50.0,391.4644653245211,86.59210811940018
51.0,22.15129325276231,277.7562384583388
51.0,40.4706369074169,143.94960580149143
51.0,42.32772115643005,116.83221827086612
51.0,52.706795634311156,302.0818689219956
51.0,61.73762715038261,254.57580692446797
51.0,62.88279680014043,220.59757138166728
51.0,61.72576963411385,254.57963381992465
51.0,71.11257518989372,269.04461778061903
51.0,77.27116901797395,339.9259976935559
51.0,121.22715250429259,93.26776153616055
51.0,132.84170696409464,346.5868201471748
51.0,155.97992310735478,96.43688503262352
51.0,155.52586051068002,326.95865522390744
51.0,158.6732783741573,120.00006484909822
51.0,187.08517152850249,304.4552988873655
51.0,191.45536094732034,168.53634564051055
51.0,206.26168360931914,141.9226017207738
51.0,223.21551129883,191.60780733260515
51.0,225.7324894960282,83.06234061572503
51.0,228.10227048527472,254.83789302469944
51.0,234.1686864649021,58.62059736908708
51.0,234.1537887747962,58.62820757155042
51.0,235.61252787433085,233.32618634644334
