"frame","x [nm]","y [nm]"
50.0,18.695915794374226,359.9622057499176
50.0,27.587317079447022,372.92625620701864
50.0,28.327909571827508,337.97941592882074
50.0,73.56216034295103,381.23175112481823
50.0,98.08809707185904,332.65625660094787
50.0,99.02523534520472,347.7595851493097
50.0,100.21431561568451,373.65901243991476
50.0,107.56586049299041,374.1017682509884
50.0,108.94381786551307,358.5544396209286
50.0,126.29056606466943,345.48324074385454
50.0,172.7602416812936,377.42250974489815
50.0,181.69597966332987,338.016780577886
50.0,195.93861963958076,372.7000504062429
50.0,198.2991394737226,338.232991049833
50.0,214.24674321973376,329.4704076270382
50.0,223.34491824180304,382.1590582689852
50.0,248.2271374136507,363.6050217438624
50.0,259.944956142671,359.67799496713326
50.0,308.5804802343681,366.6325371085909
50.0,318.17681406181504,378.6540085842743
50.0,324.3199937095208,366.0447559168197
50.0,375.1266530803402,340.6654915380916
51.0,18.459968187611196,359.63387032326466
51.0,27.411540744425153,338.2716816355347
51.0,28.631043542056005,372.43655486710645
51.0,38.10568112184162,269.78655750722254
51.0,50.620024798126245,234.61631679446972
51.0,58.9942230558895,242.64190746582594
51.0,67.53239244867099,283.1779898721995
51.0,72.8754460152693,381.00630045326517
51.0,75.71858674591208,275.9973433915434
51.0,85.95550129292374,274.1346013782708
51.0,89.67992589023822,285.2809440349103
51.0,98.77097675264002,332.2474476393306
51.0,99.34462338350698,347.67827161325056
51.0,100.24314313560708,373.8123729691796
51.0,101.7447875666973,228.90402080687036
51.0,107.89019300205965,358.38364597620574
51.0,107.72070982947976,374.1961499001138
51.0,117.99473377493257,229.41979679153255
51.0,125.99688754091711,345.454487738697
51.0,132.1659279928967,272.59554218979736
51.0,138.01068635481326,306.9815860027674
51.0,138.01280246034162,306.9658526611878
51.0,141.935153995808,285.588005523103
51.0,144.2791096157324,325.7360787799843
51.0,146.82435886396448,216.8314381231484
51.0,173.80501802539732,258.28516892453035
51.0,173.16217368670405,377.604765657095
51.0,181.5233936034479,338.2494301676
51.0,185.62449259422843,217.20123602624497
51.0,187.36876160517218,261.6077945559064
51.0,196.17588039617505,373.54216584682155
51.0,198.40993710510364,338.6428839617346
51.0,213.58869161987357,202.17795905461693
51.0,214.38433796589038,330.5632891972745
51.0,218.89386465685928,275.7770963710688
51.0,221.09817185251183,302.3657716638885
51.0,223.24796508580772,382.25363029172286
51.0,239.9956103145071,270.3362898020091
51.0,242.7853148701875,221.17602675514357
51.0,249.112989244537,363.9644608641673
51.0,252.70933641274294,246.35067796236737
51.0,260.3381418978203,359.10093819912765
51.0,265.7571352023932,286.3769394337503
51.0,276.637616875082,253.27192944337244
51.0,308.58619937976465,353.7383656993475
51.0,308.9422161459903,366.1032808772852
51.0,317.17025236197725,196.07378944516654
51.0,319.7025428303467,378.2099084007534
51.0,324.5235698464626,366.5897594904499
51.0,325.5127005375506,223.47161645398612
51.0,326.1825279940294,208.11151227558457
51.0,340.4774474875944,187.08997782413616
51.0,345.82737710905417,283.95975309919027
51.0,354.8717756311715,248.42093164638624
