"frame","x [nm]","y [nm]"
1.0,21.484520743758527,246.1205143358236
1.0,27.365665499064324,161.23498513475218
1.0,25.647048998614636,246.86727286516106
1.0,26.838331219857007,259.53361032052567
1.0,34.23615323636093,200.30063878316392
1.0,34.15023250829391,334.59562815915285
1.0,64.44776856393997,279.6815459254272
1.0,86.0676993492504,24.807496322315945
1.0,87.51129036887846,201.19599042204686
1.0,91.55877816764847,251.71523200577622
1.0,93.98290378244823,87.57676756463441
1.0,108.68052155910864,113.90501939761408
1.0,118.9429965571423,189.66758393567952
1.0,120.90555443808982,55.32852981079676
1.0,127.76538941197825,83.915151143283
1.0,130.38058792870578,93.00028811350991
1.0,130.11834131777337,366.46532695642213
1.0,137.36979186446112,76.69684141152702
1.0,141.19690684590364,99.44622385989626
1.0,148.60744150177155,58.6722781777452
1.0,152.57601808339268,134.7971144628218
1.0,161.85955745244888,285.8573041989139
1.0,186.81873255163433,52.97703427834224
1.0,186.54070471049644,83.15516477693937
1.0,215.65001849010864,188.5566284374414
1.0,221.5650689969443,216.52692594216506
1.0,226.15494621199744,47.06758505077021
1.0,228.25011999301833,12.872013093499817
1.0,233.8119867825557,142.30112831345596
1.0,234.99252740711137,10.02324913156641
1.0,238.85595812624516,78.70448935322366
1.0,238.60406675839454,138.250150749641
1.0,245.57471686977365,3.539443573893155
1.0,254.1139691677789,253.5446947602424
1.0,257.7877905039537,236.26056558005155
1.0,260.0570858354717,174.28853779088823
1.0,262.04834015812696,42.69375852033864
1.0,272.0762468786414,162.49744949339436
1.0,274.24642217265625,30.795484110185328
1.0,276.3652223873249,178.65354036351295
1.0,284.0837679986282,162.9868514089259
1.0,287.6209741495905,185.28043431397435
1.0,298.38220932417454,198.70354751918782
1.0,308.8216156061066,156.02507578746173
1.0,311.0682971862768,229.0442165352644
1.0,316.77011707698347,202.57208540190183
1.0,319.0571091441781,55.44571022909914
1.0,319.1428435159108,102.18685993681572
1.0,319.71281013990614,185.27095812925663
1.0,322.3576372550857,96.5183838996122
1.0,323.9227843369469,52.0701832783012
1.0,324.9247574302715,167.23128381099897
1.0,324.02779189250526,300.41790254634304
1.0,336.6026067535835,96.06441566617524
1.0,342.14282379367006,232.7641796397176
1.0,350.8000696809005,228.72340182204817
1.0,352.54913183421996,154.3236410514452
1.0,353.724186255267,126.0691433136454
1.0,356.0055858657153,100.63850615985056
1.0,357.98325656645386,105.32207920988432
1.0,361.7342064302616,323.91197585693027
1.0,363.79831037242496,153.53855460714064
1.0,374.9537596621681,319.623894443382
1.0,392.1382679979467,128.1382825026771
2.0,21.57887740486667,246.13837820954487
2.0,27.470441435771303,161.17407455232012
2.0,28.04536153407046,259.5771424530002
2.0,27.12035325282696,247.96054576925872
2.0,31.80914322788297,265.41123808641197
2.0,34.52192931429983,200.66617116534363
2.0,51.07765955834129,139.49349705452198
2.0,63.932387078766325,257.9729004988846
2.0,64.45090766423317,279.26518662669775
2.0,77.14632672791362,21.37070605732753
2.0,85.84187682946057,24.72244551074065
2.0,87.8035740290255,201.04535226935812
2.0,93.8389128299593,88.20669315997993
2.0,110.0007153884839,81.21248599244
2.0,112.86330073109949,139.37104684634338
2.0,118.37946040714714,53.303963901135596
2.0,117.97428966324998,190.02742595100872
2.0,122.7883628401082,338.8249095721313
2.0,127.80222176075209,83.95706295114644
2.0,128.32131057105894,72.9031758951474
2.0,130.28815717301262,366.3381035984599
2.0,131.2870018095018,92.42634570947021
2.0,162.10622568171087,285.6935636538327
2.0,179.47641840311948,53.27100684979266
2.0,180.91116833713622,73.06933257940987
2.0,184.97169660044037,183.5204506168381
2.0,186.83827810087982,83.36509993135702
2.0,187.51254070049376,52.419149134626316
2.0,215.78516533735956,47.57947439961025
2.0,226.62618368333634,12.592030301098385
2.0,226.23954210101317,31.126198472612842
2.0,226.31530462979856,47.23744923603894
2.0,233.54173584347885,142.22307947644344
2.0,234.80292693726267,9.383556169505503
2.0,235.46409018220524,83.63564618135592
2.0,237.49627327765137,146.1760817657014
2.0,237.71320450135423,138.84454774561524
2.0,241.36055390858868,144.29214871165607
2.0,245.42168667207517,3.5294153490312796
2.0,245.87927422062324,188.8752693828094
2.0,257.2958234767611,236.46966634109768
2.0,259.53686994062207,173.93940439675362
2.0,271.00494378307064,162.4335675600485
2.0,276.32862396385974,217.02625552403708
2.0,277.03821207500056,179.25991482591803
2.0,288.14897566175335,184.85753438758857
2.0,290.38778058939084,311.45387692110575
2.0,294.14048188627015,137.09912595548218
2.0,297.99482595652944,198.85143748956136
2.0,310.5830346345773,229.74317191860933
2.0,311.249198195011,124.17829689413567
2.0,312.6868139756431,302.4250283203464
2.0,316.9417072679329,202.28013865148583
2.0,319.27944492153154,55.95679923650858
2.0,319.23993737170207,100.83772011948778
2.0,319.7401908537758,186.8150748471756
2.0,323.0036592983526,50.566517156632955
2.0,321.73921406059173,97.60510766666195
2.0,324.5814902611195,148.18718607424492
2.0,325.4580100438359,168.23637942155736
2.0,326.6073160684042,54.43847333511253
2.0,328.6039934427911,48.4673335977554
2.0,336.8424440641296,95.97595481452686
2.0,340.18105821608543,319.3820668786028
2.0,341.79626568202644,232.30224507284666
2.0,350.95835221219517,229.57521132878506
2.0,353.9992235488651,126.11528567568071
2.0,356.36966686611623,100.79939722021459
2.0,357.7849879507005,104.94488695565076
2.0,362.5991087261467,324.1176078867074
2.0,363.40424070548346,153.09375628355417
2.0,370.48798705630406,83.22832069656418
2.0,373.8941700727077,152.82225266222355
2.0,392.6680272284212,128.21565320406003
3.0,21.47148990805391,246.06457891820503
3.0,27.48569945101648,161.0741131152851
3.0,27.871328231235896,259.52278964541813
3.0,31.364695460934733,266.07513589173516
3.0,34.074154258331845,333.9842678652387
3.0,34.766833353763374,200.54163543105582
3.0,50.78020455013063,139.18018781926978
3.0,63.55044268301224,257.73950366741457
3.0,64.37616117302404,279.3621121080692
3.0,76.67551681784398,222.17066307039977
3.0,86.27844325711722,24.713986826912983
3.0,88.00880308987185,200.0453727626022
3.0,93.35176840019227,87.98974276242488
3.0,108.89364910415561,115.87421329845812
3.0,118.39972305966909,190.7039397286666
3.0,119.63349681976209,53.100669924666384
3.0,127.65994830660395,83.70845445553604
3.0,130.79620320594003,365.9174282530569
3.0,132.3693985236875,92.00063115831878
3.0,134.35446940297254,50.05646699581679
3.0,148.7733434958115,59.3973050341064
3.0,161.96089135546035,285.8147643472128
3.0,178.2657891825308,193.77452155406968
3.0,187.45647469023027,82.49758326409625
3.0,188.96524165121545,54.07514463880837
3.0,226.70981527428748,46.23944749957646
3.0,227.1265106795493,13.108645838548897
3.0,233.15105641463123,141.83069664360062
3.0,234.99244763221157,9.464358767515824
3.0,237.96597018339668,138.60726332860156
3.0,245.71368266123304,3.5896005789416923
3.0,257.9279764483586,237.44178677278197
3.0,259.5483184314381,173.2719923683395
3.0,264.59341004268543,177.79203687965116
3.0,266.18235444909243,156.21751061841945
3.0,271.01499105552006,255.51582684454104
3.0,283.8776237384441,162.37090327310403
3.0,287.8553230871841,113.16912214724539
3.0,289.0231481104624,185.40398555572608
3.0,289.7326718547656,311.2065597562003
3.0,297.9840098671906,198.8382663738587
3.0,312.52963053993574,123.59482013168159
3.0,317.1411431251416,202.50624276640534
3.0,319.7982282079658,100.47054783408211
3.0,319.79915479267265,55.04377670580757
3.0,320.0144214885988,187.0508135325733
3.0,321.71915647909606,97.159282514868
3.0,321.1538705983572,152.85459207996536
3.0,324.2400858947806,147.91344256009384
3.0,326.58162387749735,53.375614773749795
3.0,330.103834883112,47.14135258305278
3.0,336.92049241485876,96.25797675757798
3.0,340.6985066959123,331.8381974369381
3.0,341.83574009509016,233.49267176591667
3.0,350.55487431570884,229.28901935425205
3.0,354.1086778402558,126.23617658633052
3.0,355.3281601614456,100.3072273033617
3.0,357.3845997668354,105.27538578373071
3.0,361.70697869037724,364.2656922437535
3.0,363.57183436599007,326.67662887953946
3.0,364.38566011664216,152.16123419855913
4.0,21.07728480348466,245.65750713839927
4.0,27.390382831042025,161.01044144597313
4.0,27.263860368924743,259.92353800948854
4.0,27.712233222477746,247.14854901529884
4.0,31.884848782303603,267.658078661618
4.0,32.00013820775093,268.5083934923407
4.0,34.32537606580223,199.9626142676593
4.0,34.574307050150395,336.32721402974147
4.0,56.332619846732555,190.91457295864546
4.0,63.84665735539925,279.59141862755956
4.0,77.14070272239655,22.314252705801817
4.0,85.93223088989632,25.103810304098985
4.0,87.75384518310864,84.63166508615141
4.0,88.00002407320764,199.84352164843753
4.0,93.57224011011826,88.1090374537588
4.0,100.01703422843265,19.194362891444296
4.0,108.07560248250097,172.7758043412385
4.0,109.04667272199556,115.44200527287923
4.0,118.56155708589932,50.790818985405295
4.0,118.38378701441559,190.70741506512607
4.0,127.58071787977686,84.18438142959918
4.0,132.12303565327684,92.23099065495973
4.0,131.0080709048795,365.7946263176301
4.0,134.08111934713438,49.87633315770882
4.0,148.04984978777554,58.95932260713055
4.0,161.67131146541416,285.8586069180638
4.0,187.9329353913979,83.65397887518573
4.0,188.78059713884537,104.76164911826031
4.0,224.7708243631105,174.44805674290924
4.0,227.66959170395722,13.004415139488614
4.0,233.63622418907244,140.44521788830443
4.0,234.84713714276285,8.975081008208553
4.0,236.4225161326763,139.07867704919843
